,member_id,member_name,gender,age,membership_type,preferred_facility,join_date,expiry_date,status
0,M00001,Member 001,male,39,annual,swimming pool,2025-04-13,2026-04-13,expired
1,M00002,Member 002,male,30,annual,swimming pool,2026-03-12,2027-03-12,active
2,M00003,Member 003,Female,53,monthly,basketball,2025-09-28,2025-10-28,expired
3,M00004,Member 004,Female,23,monthly,basketball,2025-04-17,2025-05-17,expired
4,M00005,Member 005,Female,20,monthly,basketball,2025-03-13,2025-04-12,expired
5,Female,Female,Female,63,monthly,swimming pool,2025-01-21,2025-02-20,expired
6,M00007,Member 007,Female,41,monthly,badminton,2025-05-02,2025-06-01,expired
7,M00008,Member 008,Female,33,monthly,football,2026-04-12,2026-05-12,expired
8,M00009,Member 009,Female,21,monthly,badminton,2025-08-03,2025-09-02,expired
9,M00010,Member 010,Female,52,quarterly,badminton,2025-11-27,2026-02-25,expired
10,M00011,Member 011,male,63,quarterly,swimming pool,2026-04-04,2026-07-03,expired
11,M00012,Member 012,male,28,monthly,badminton,2025-03-29,2025-04-28,expired
12,M00013,Member 013,male,43,annual,gym,2026-01-08,2027-01-08,active
13,M00014,Member 014,Female,20,monthly,basketball,2025-04-10,2025-05-10,expired
14,M00015,Member 015,Female,28,annual,gym,2025-05-11,2026-05-11,expired
15,M00016,Member 016,male,32,monthly,football,2025-11-05,2025-12-05,expired
16,M00017,Member 017,Female,65,annual,basketball,2025-12-10,2026-12-10,active
17,M00018,Member 018,Female,55,quarterly,badminton,2026-05-07,2026-08-05,expired
18,M00019,Member 019,male,60,monthly,football,2026-02-18,2026-03-20,expired
19,M00020,Member 020,male,47,monthly,basketball,2026-01-21,2026-02-20,expired
20,M00021,Member 021,Female,44,monthly,badminton,2025-07-11,2025-08-10,expired
21,M00022,Member 022,male,18,monthly,gym,2025-10-04,2025-11-03,expired
22,M00023,Member 023,Female,55,monthly,swimming pool,2025-06-10,2025-07-10,expired
23,M00024,Member 024,male,49,quarterly,badminton,2026-04-05,2026-07-04,expired
24,M00025,Member 025,Female,55,monthly,gym,2025-11-10,2025-12-10,expired
25,M00026,Member 026,Female,42,quarterly,football,2025-01-22,2025-04-22,expired
26,M00027,Member 027,Female,28,annual,football,2025-09-10,2026-09-10,active
27,M00028,Member 028,Female,60,monthly,football,2026-07-15,2026-08-14,expired
28,M00029,Member 029,male,48,quarterly,football,2026-04-20,2026-07-19,expired
29,M00030,Member 030,male,21,monthly,swimming pool,2025-02-28,2025-03-30,expired
30,M00031,Member 031,male,39,quarterly,basketball,2026-05-26,2026-08-24,expired
31,M00032,Member 032,Female,34,monthly,basketball,2026-04-21,2026-05-21,expired
