,member_id,payment_date,amount_pkr,payment_type,payment_status
0,M00001,2026-06-17,30000.0,membership fee,paid
1,M00001,2026-04-28,30000.0,registration,paid
2,M00001,2026-03-07,3500.0,membership fee,paid
3,M00002,2026-07-27,9000.0,renewal,paid
4,M00002,2026-04-29,9000.0,membership fee,paid
5,M00003,2026-06-08,30000.0,renewal,paid
6,M00003,2026-04-18,3500.0,renewal,paid
7,M00003,2026-07-14,3500.0,renewal,paid
9,M00004,2026-03-28,3500.0,renewal,paid
10,M00004,2026-02-19,9000.0,membership fee,paid
11,M00005,2026-02-21,9000.0,membership fee,paid
12,M00005,2026-04-10,9000.0,membership fee,paid
13,M00005,2026-03-25,3500.0,registration,paid
14,M00006,2026-01-06,3500.0,membership fee,paid
15,M00006,2026-06-24,30000.0,membership fee,paid
16,M00006,2026-07-10,30000.0,renewal,paid
17,M00007,2026-04-20,9000.0,membership fee,paid
18,M00008,2026-05-20,3500.0,renewal,paid
19,M00008,2026-08-16,9000.0,renewal,paid
20,M00008,2026-05-14,30000.0,renewal,paid
21,M00009,2026-06-03,3500.0,membership fee,paid
22,M00010,2026-06-14,9000.0,registration,paid
23,M00010,2026-03-09,3500.0,membership fee,paid
24,M00011,2026-04-17,9000.0,renewal,paid
25,M00011,2026-04-15,9000.0,renewal,paid
26,M00012,2026-08-29,9000.0,membership fee,paid
27,M00012,2026-08-03,30000.0,renewal,paid
28,M00012,2026-07-17,30000.0,membership fee,paid
29,M00013,2026-02-21,9000.0,renewal,paid
30,M00014,2026-04-30,3500.0,renewal,paid
31,M00014,2026-04-16,9000.0,membership fee,paid
32,M00015,2026-08-28,3500.0,membership fee,paid
33,M00015,2026-04-07,30000.0,renewal,paid
34,M00015,2026-08-01,30000.0,registration,paid
35,M00016,2026-07-26,30000.0,renewal,paid
36,M00016,2026-08-05,30000.0,registration,paid
37,M00017,2026-07-02,9000.0,membership fee,paid
38,M00017,2026-08-01,9000.0,membership fee,paid
39,M00017,2026-05-22,9000.0,registration,paid
40,M00018,2026-02-24,9000.0,registration,paid
41,M00018,2026-04-15,30000.0,registration,paid
42,M00019,2026-05-22,30000.0,registration,paid
43,M00020,2026-02-20,30000.0,membership fee,paid
44,M00020,2026-03-04,9000.0,registration,paid
45,M00021,2026-05-12,30000.0,membership fee,paid
46,M00021,2026-03-16,3500.0,renewal,paid
47,M00021,2026-02-21,3500.0,renewal,paid
48,M00022,2026-08-27,3500.0,membership fee,paid
49,M00023,2026-06-16,3500.0,renewal,paid
50,M00023,2026-08-02,3500.0,registration,paid
51,M00023,2026-07-18,9000.0,membership fee,paid
52,M00024,2026-04-24,3500.0,renewal,paid
53,M00024,2026-02-01,30000.0,registration,paid
54,M00025,2026-07-16,9000.0,renewal,paid
55,M00026,2026-01-07,9000.0,renewal,paid
56,M00026,2026-01-05,9000.0,membership fee,paid
57,M00026,2026-04-25,3500.0,registration,paid
58,M00027,2026-04-14,3500.0,renewal,paid
59,M00028,2026-07-05,3500.0,registration,paid
60,M00028,2026-05-25,9000.0,registration,paid
61,M00028,2026-08-31,9000.0,membership fee,paid
62,M00029,2026-07-16,30000.0,membership fee,paid
63,M00029,2026-02-16,30000.0,renewal,paid
64,M00030,2026-02-17,9000.0,registration,paid
65,M00030,2026-04-29,9000.0,renewal,paid
66,M00030,2026-05-29,9000.0,registration,paid
67,M00031,2026-01-28,3500.0,registration,paid
68,M00032,2026-05-25,9000.0,renewal,paid
69,M00032,2026-04-08,30000.0,membership fee,paid
70,M00033,2026-02-23,3500.0,renewal,paid
71,M00033,2026-06-11,3500.0,membership fee,paid
72,M00033,2026-03-16,30000.0,membership fee,paid
73,M00034,2026-04-01,9000.0,renewal,paid
74,M00035,2026-01-02,3500.0,renewal,paid
75,M00035,2026-06-26,3500.0,renewal,paid
76,M00036,2026-08-01,3500.0,membership fee,paid
77,M00036,2026-03-24,30000.0,membership fee,paid
78,M00036,2026-01-10,3500.0,membership fee,paid
79,M00037,2026-02-01,30000.0,membership fee,paid
