,member_id,attendance_date,facility,check_in_time
0,M00115,2026-01-07,badminton,13:15
1,M00143,2026-07-08,gym,08:45
2,M00033,2026-01-08,gym,12:15
3,M00518,2026-06-04,gym,12:45
4,M00226,2026-04-25,football,14:00
5,M00164,2026-06-28,basketball,16:30
6,M00160,2026-02-25,badminton,09:00
7,M00390,2026-01-25,badminton,17:30
8,M00045,2026-07-06,basketball,09:45
9,M00081,2026-05-22,badminton,17:15
10,M00072,2026-01-12,gym,15:00
11,M00239,2026-08-10,gym,18:30
12,M00465,2026-06-12,badminton,11:30
13,M00364,2026-02-23,badminton,08:15
14,M00547,2026-07-06,swimming pool,11:45
15,M00389,2026-03-11,football,13:30
16,M00058,2026-02-28,gym,16:45
17,M00275,2026-01-17,swimming pool,16:15
18,M00512,2026-04-12,basketball,10:30
19,M00143,2026-03-05,football,14:45
20,M00598,2026-04-13,badminton,13:15
21,M00522,2026-05-07,gym,07:00
22,M00157,2026-06-10,swimming pool,19:00
23,M00395,2026-04-08,football,20:30
24,M00567,2026-08-09,gym,09:30
25,M00349,2026-01-29,swimming pool ,19:15
26,M00465,2026-01-01,badminton,11:00
27,M00306,2026-08-04,football,12:15
28,M00383,2026-07-15,swimming pool,06:30
29,M00501,2026-01-05,gym,17:30
30,M00246,2026-01-15,swimming pool,08:00
31,M00498,2026-07-28,gym,10:15
32,M00487,2026-08-31,football,11:30
33,M00541,2026-08-12,football,19:15
34,M00553,2026-07-13,swimming pool,15:45
35,M00383,2026-04-23,football,20:00
36,M00254,2026-02-27,gym,16:00
37,M00568,2026-02-28,football,13:00
38,M00073,2026-07-01,gym,13:00
39,M00033,2026-08-09,badminton,08:15
40,M00286,2026-06-21,basketball,12:15
41,M00585,2026-05-28,basketball,13:45
42,M00417,2026-02-18,gym,09:45
43,M00363,2026-04-19,basketball,20:00
44,M00101,2026-01-16,basketball,16:00
45,M00255,2026-02-19,swimming pool,20:15
46,M00433,2026-02-16,badminton,20:15
47,M00078,2026-04-24,football,09:00
48,M00554,2026-08-03,gym,08:15
49,M00171,2026-04-15,basketball,21:15
50,M00411,2026-08-20,gym,11:45
51,M00003,2026-04-10,badminton,20:30
52,M00434,2026-06-28,football,21:15
53,M00195,2026-03-17,swimming pool,07:00
54,M00322,2026-01-15,gym,21:15
55,M00059,2026-05-11,gym,11:00
56,M00070,2026-06-22,swimming pool,18:00
57,M00584,2026-03-05,football,07:00
58,M00430,2026-06-18,football,16:30
59,M00210,2026-06-21,badminton,13:30
60,M00406,2026-02-03,badminton,20:30
61,M00075,2026-01-03,basketball,09:00
62,M00551,2026-02-24,football,14:15
63,M00358,2026-08-14,gym,13:30
64,M00292,2026-02-10,basketball,15:00
65,M00568,2026-03-18,gym,10:30
66,M00119,2026-08-16,gym,10:30
67,M00289,2026-06-04,swimming pool,16:15
68,M00271,2026-05-10,basketball,14:00
69,M00095,2026-06-12,basketball,14:00
70,M00004,2026-03-27,swimming pool,14:15
71,M00453,2026-05-22,basketball,06:00
72,M00078,2026-08-30,swimming pool,07:30
73,M00597,2026-05-22,swimming pool,19:15
74,M00043,2026-03-20,badminton,07:30
75,M00216,2026-06-24,swimming pool,09:30
76,M00574,2026-08-15,basketball,10:15
77,M00167,2026-07-24,swimming pool,19:00
78,M00184,2026-07-08,badminton,19:15
79,M00274,2026-02-10,gym,18:00
80,M00482,2026-02-26,swimming pool,20:30
81,M00313,2026-07-30,swimming pool,13:00
82,M00198,2026-04-13,badminton,14:00
83,M00286,2026-03-31,football,18:30
84,M00029,2026-01-30,badminton,11:30
85,M00040,2026-01-28,football,19:30
86,M00322,2026-04-22,football,09:45
87,M00591,2026-02-18,badminton,07:45
88,M00002,2026-05-14,football,12:30
89,M00442,2026-01-18,badminton,16:00
90,M00308,2026-05-10,badminton,19:30
91,M00413,2026-06-28,badminton,10:15
92,M00431,2026-06-20,basketball,11:30
93,M00416,2026-05-21,gym,15:30
94,M00216,2026-04-21,football,16:45
95,M00453,2026-04-24,swimming pool,21:15
96,M00087,2026-03-14,football,16:00
