member_id,attendance_date,facility,check_in_time
M00115,2026-01-07,Badminton,13:15
M00143,2026-07-08,Gym,08:45
M00033,2026-01-08,Gym,12:15
M00518,2026-06-04,Gym,12:45
M00226,2026-04-25,Football,14:00
M00164,2026-06-28,Basketball,16:30
M00160,2026-02-25,Badminton,09:00
M00390,2026-01-25,Badminton,17:30
M00045,2026-07-06,Basketball,09:45
M00081,2026-05-22,Badminton,17:15
M00072,2026-01-12,GYM,15:00
M00239,2026-08-10,Gym,18:30
M00465,2026-06-12,Badminton,11:30
M00364,2026-02-23,Badminton,08:15
M00547,2026-07-06,Swimming Pool,11:45
M00389,2026-03-11,Football,13:30
M00058,2026-02-28,Gym,16:45
M00275,2026-01-17,Swimming Pool,16:15
M00512,2026-04-12,Basketball,10:30
M00143,2026-03-05,Football,14:45
M00598,2026-04-13,Badminton,13:15
M00522,2026-05-07,Gym,07:00
M00157,2026-06-10,Swimming Pool,19:00
M00395,2026-04-08,Football,20:30
M00567,2026-08-09,Gym,09:30
M00349,2026-01-29,Swimming pool ,19:15
M00465,2026-01-01,Badminton,11:00
M00306,2026-08-04,Football,12:15
M00383,2026-07-15,Swimming Pool,06:30
M00501,2026-01-05,Gym,17:30
M00246,2026-01-15,Swimming Pool,08:00
M00498,2026-07-28,Gym,10:15
M00487,2026-08-31,Football,11:30
M00541,2026-08-12,Football,19:15
M00553,2026-07-13,Swimming Pool,15:45
M00383,2026-04-23,Football,20:00
M00254,2026-02-27,Gym,16:00
M00568,2026-02-28,Football,13:00
M00073,2026-07-01,Gym,13:00
M00033,2026-08-09,Badminton,08:15
M00286,2026-06-21,Basketball,12:15
M00585,2026-05-28,Basketball,13:45
M00417,2026-02-18,Gym,09:45
M00363,2026-04-19,Basketball,20:00
M00101,2026-01-16,Basketball,16:00
M00255,2026-02-19,Swimming Pool,20:15
M00433,2026-02-16,Badminton,20:15
M00078,2026-04-24,Football,09:00
M00554,2026-08-03,Gym,08:15
M00171,2026-04-15,Basketball,21:15
M00411,2026-08-20,Gym,11:45
M00003,2026-04-10,Badminton,20:30
M00434,2026-06-28,Football,21:15
M00195,2026-03-17,Swimming Pool,07:00
M00322,2026-01-15,Gym,21:15
M00059,2026-05-11,Gym,11:00
M00070,2026-06-22,Swimming Pool,18:00
M00584,2026-03-05,Football,07:00
M00430,2026-06-18,Football,16:30
M00210,2026-06-21,Badminton,13:30
M00406,2026-02-03,Badminton,20:30
M00075,2026-01-03,Basketball,09:00
M00551,2026-02-24,Football,14:15
M00358,2026-08-14,Gym,13:30
M00292,2026-02-10,Basketball,15:00
M00568,2026-03-18,Gym,10:30
M00119,2026-08-16,Gym,10:30
M00289,2026-06-04,Swimming Pool,16:15
M00271,2026-05-10,Basketball,14:00
M00095,2026-06-12,Basketball,14:00
M00004,2026-03-27,Swimming Pool,14:15
M00453,2026-05-22,Basketball,06:00
M00078,2026-08-30,Swimming Pool,07:30
M00597,2026-05-22,Swimming Pool,19:15
M00043,2026-03-20,Badminton,07:30
M00216,2026-06-24,Swimming Pool,09:30
M00574,2026-08-15,Basketball,10:15
M00167,2026-07-24,Swimming Pool,19:00
M00184,2026-07-08,Badminton,19:15
M00274,2026-02-10,Gym,18:00
M00482,2026-02-26,Swimming Pool,20:30
M00313,2026-07-30,Swimming Pool,13:00
M00198,2026-04-13,Badminton,14:00
M00286,2026-03-31,Football,18:30
